         ns       /testbench/out    
          delta                     
     585690  +2           -17953 
     588090  +2           -18675 
     590490  +2           -19420 
     592890  +2           -20175 
     595290  +2           -20921 
     597690  +2           -21640 
     600090  +2           -22319 
     602490  +2           -22952 
     604890  +2           -23543 
     607290  +2           -24105 
     609690  +2           -24653 
     612090  +2           -25202 
     614490  +2           -25761 
     616890  +2           -26326 
     619290  +2           -26882 
     621690  +2           -27405 
     624090  +2           -27870 
     626490  +2           -28252 
     628890  +2           -28535 
     631290  +2           -28712 
     633690  +2           -28786 
     636090  +2           -28767 
     638490  +2           -28665 
     640890  +2           -28485 
     643290  +2           -28223 
     645690  +2           -27870 
     648090  +2           -27413 
     650490  +2           -26840 
     652890  +2           -26147 
     655290  +2           -25339 
     657690  +2           -24432 
     660090  +2           -23451 
     662490  +2           -22427 
     664890  +2           -21392 
     667290  +2           -20375 
     669690  +2           -19398 
     672090  +2           -18474 
     674490  +2           -17612 
     676890  +2           -16813 
     679290  +2           -16075 
     681690  +2           -15394 
     684090  +2           -14765 
     686490  +2           -14184 
     688890  +2           -13646 
     691290  +2           -13141 
     693690  +2           -12657 
     696090  +2           -12177 
     698490  +2           -11681 
     700890  +2           -11146 
     703290  +2           -10552 
     705690  +2            -9888 
     708090  +2            -9152 
     710490  +2            -8352 
     712890  +2            -7509 
     715290  +2            -6651 
     717690  +2            -5807 
     720090  +2            -5001 
     722490  +2            -4248 
     724890  +2            -3554 
     727290  +2            -2913 
     729690  +2            -2311 
     732090  +2            -1731 
     734490  +2            -1157 
     736890  +2             -574 
     739290  +2               25 
     741690  +2              645 
     744090  +2             1289 
     746490  +2             1959 
     748890  +2             2656 
     751290  +2             3380 
     753690  +2             4129 
     756090  +2             4896 
     758490  +2             5670 
     760890  +2             6432 
     763290  +2             7164 
     765690  +2             7853 
     768090  +2             8492 
     770490  +2             9086 
     772890  +2             9653 
     775290  +2            10217 
     777690  +2            10802 
     780090  +2            11429 
     782490  +2            12110 
     784890  +2            12841 
     787290  +2            13607 
     789690  +2            14386 
     792090  +2            15153 
     794490  +2            15889 
     796890  +2            16582 
     799290  +2            17231 
     801690  +2            17845 
     804090  +2            18436 
     806490  +2            19019 
     808890  +2            19608 
     811290  +2            20211 
     813690  +2            20829 
     816090  +2            21459 
     818490  +2            22094 
     820890  +2            22722 
     823290  +2            23331 
     825690  +2            23909 
     828090  +2            24444 
     830490  +2            24923 
     832890  +2            25337 
     835290  +2            25682 
     837690  +2            25955 
     840090  +2            26157 
     842490  +2            26293 
     844890  +2            26368 
     847290  +2            26384 
     849690  +2            26340 
     852090  +2            26228 
     854490  +2            26035 
     856890  +2            25744 
     859290  +2            25339 
     861690  +2            24810 
     864090  +2            24156 
     866490  +2            23386 
     868890  +2            22520 
     871290  +2            21587 
     873690  +2            20617 
     876090  +2            19640 
     878490  +2            18679 
     880890  +2            17746 
     883290  +2            16845 
     885690  +2            15974 
     888090  +2            15130 
     890490  +2            14312 
     892890  +2            13525 
